file,category,keyword,page,excerpt
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,109,"...its achievements. Examples: assassinations, blockbusting, bombing of 16th Street Baptist [Church,] congressional filibuster, employment termination, Massive Resistance 10e Describe how key..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,111,"...of Chilean coup d’etat and Augusto Pinochet, War Powers Act, [Church] Committee, Executive Orders 11905 and 12036 16b Evaluate how the..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Church,Church,162,"...Alabama sought to limit its success. Examples: 16th Street Baptist [Church] bombing, Bloody Sunday, George Wallace and the “Stand in the..."
Alask History Standards.pdf,Church,Church,4,"...also be peoples and gathering practices, resources (e.g., supply and [Church,] early fur traders, international interest, trade, art, music/dance, beliefs, demand..."
Alask History Standards.pdf,Church,Church,7,"...•Relationships with indigenous practices, art, music/dance, resources (e.g., supply and [Church,] early fur traders, international interest, trade, peoples beliefs, worldview), movement,..."
California HSS Standards 1998.pdf,Church,Church,34,"...Orthodox and Roman Catholic, and their two distinct views on [church-state] relations. 27 California Department of Education Created May 18, 2000"
California HSS Standards 1998.pdf,Church,Church,36,...of the Alps and the roles played by the early [church] and by monasteries in its diffusion after the fall of...
California HSS Standards 1998.pdf,Church,Church,37,"...on global population. 8. Understand the importance of the Catholic [church] as a political, intellectual, and aesthetic institution (e.g., founding of..."
California HSS Standards 1998.pdf,Church,Church,38,"...for the internal turmoil in and weakening of the Catholic [church] (e.g., tax policies, selling of indulgences). 2. Describe the theological,..."
California HSS Standards 1998.pdf,Church,Church,38,"...John Calvin, William Tyndale). 3. Explain Protestants’ new practices of [church] self-government and the influence of those practices on the development..."
California HSS Standards 1998.pdf,Church,Church,38,"...New World. 5. Analyze how the Counter-Reformation revitalized the Catholic [church] and the forces that fostered the movement (e.g., St. Ignatius..."
California HSS Standards 1998.pdf,Church,Church,41,...the founding fathers on the issue of the separation of [church] and state. 6. Enumerate the powers of government set forth...
California HSS Standards 1998.pdf,Church,Church,56,...including the debate on the issue of separa­ tion of [church] and state. 11.4 Students trace the rise of the United...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Churches,Churches,44,"...institutions in Alabama. Examples: educational reform, establishment of additional Black [churches,] establishment of segregated schools, Morrill Land Grant Act and expansion..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Churches,Churches,58,"...efforts to limit religious freedom in the colonies. Examples: established [churches,] Maryland Toleration Act, Requerimiento, Rhode Island and religious exile, Salem..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Churches,Churches,72,"...by the Roman Empire. Examples: Emperor Constantine, Roman roads, Seven [Churches] of Asia 16c Summarize the economic, political, and social factors..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Churches,Churches,97,"...objections of Quakers, and how this fostered schisms within American [churches.] Examples: African Methodist Episcopal Church, Baptist and Methodist sectional splits..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Churches,Churches,99,"...political participation and elect Black politicians to office. Examples: Africatown, [churches,] Colored Convention Movement, community schools, fraternal orders, mutual aid societies..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Churches,Churches,162,"...their establishment during Reconstruction to the present. Examples: Black-owned businesses, [churches,] fraternal organizations, schools 14b Evaluate the role of new labor..."
California HSS Standards 1998.pdf,Churches,Churches,42,...who gained freedom in the North and founded schools and [churches] to advance their rights and communities. California Department of Education...
California HSS Standards 1998.pdf,Churches,Churches,60,"...of the civil rights movement of African Americans from the [churches] of the rural South and the urban North, including the..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Confucian,Confucian,80,"...and politics. Examples: acceptance and suppression of Christianity, emergence of [Confucian] Shinto, influence of Zen Buddhism 16c Compare the policies of..."
California HSS Standards 1998.pdf,Confucian,Confucian,35,...periods. 3. Analyze the influences of Confucianism and changes in [Confucian] thought during the Sung and Mongol periods. 4. Understand the...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Confucianism,Confucianism,71,"...the Han Dynasty. 13a Compare and contrast the philosophies of [Confucianism,] Daoism, and Legalism and explain how they influenced dynastic cycles,..."
Arizon SS Standards 2019.pdf,Confucianism,Confucianism,32,"...• World religions including, but not limited to Buddhism, Christianity, [Confucianism,] Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism, (origins, founders, major..."
Arizon SS Standards 2019.pdf,Confucianism,Confucianism,35,"...social identity. • Key world religions such as Buddhism, Christianity, [Confucianism,] Hinduism, Islam, Judaism, Shintoism, Sikhism, and Taoism ● 6.H3.3 Explain..."
Arizon SS Standards 2019.pdf,Confucianism,Confucianism,48,"...World Belief Systems including but not limited to Buddhism, Christianity, [Confucianism,] Hinduism, Islam, Judaism, Shintoism, Sikhism, Taoism, and as well as..."
California HSS Standards 1998.pdf,Confucianism,Confucianism,33,...about the life of Confucius and the fundamental teachings of [Confucianism] and Taoism. 4. Identify the political and cultural problems prevalent...
California HSS Standards 1998.pdf,Confucianism,Confucianism,35,...the Tang and Sung periods. 3. Analyze the influences of [Confucianism] and changes in Confucian thought during the Sung and Mongol...
Colorado 2020 Social Studies - Academic Standards.pdf,Confucianism,Confucianism,81,"...the conflicts in the Middle East, the Black Death, and [Confucianism.] Hemisphere? b. Investigate and evaluate the social, political, cultural and..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Confucius,Confucius,71,"...they influenced dynastic cycles, politics, and society in China. Examples: [Confucius] and government morality, Han Fei and government realism, Mandate of..."
California HSS Standards 1998.pdf,Confucius,Confucius,33,...rest of the world. 3. Know about the life of [Confucius] and the fundamental teachings of Confucianism and Taoism. 4. Identify...
California HSS Standards 1998.pdf,Confucius,Confucius,33,...the political and cultural problems prevalent in the time of [Confucius] and how he sought to solve them. 5. List the...
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Crusades,Crusades,57,"...silver mining and Spain’s economic growth 2a Summarize how the [Crusades,] Reformation, and Renaissance influenced European exploration and describe how individuals..."
Alabama-Course-of-Study-Social-Studies_2024pdf.pdf,Crusades,Crusades,57,"...silver mining and Spain’s economic growth 2a Summarize how the [Crusades,] Reformation, and Renaissance influenced European exploration and describe how individuals..."
